Namespace(adam_epsilon=1e-06, batch_size=96, device='gpu', enable_addto=False, gradient_merge_steps=1, input_dir='./wikicorpus_en_seqlen128', learning_rate=0.0001, logging_steps=10, max_grad_norm=1.0, max_predictions_per_seq=20, max_steps=500, model_name_or_path='bert-base-uncased', model_type='bert', output_dir='./tmp2/', save_steps=20000, scale_loss=32768, seed=42, use_amp=1, use_pure_fp16=False, warmup_steps=10000, weight_decay=0.01)
[32m[2021-12-27 14:59:04,597] [    INFO][0m - Already cached /root/.paddlenlp/models/bert-base-uncased/bert-base-uncased-vocab.txt[0m
W1227 14:59:06.880378 34823 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.2, Runtime API Version: 11.2
W1227 14:59:06.884869 34823 device_context.cc:465] device: 0, cuDNN Version: 8.1.
W1227 14:59:17.183351 34823 build_strategy.cc:110] Currently, fuse_broadcast_ops only works under Reduce mode.
tobal step: 10, epoch: 0, batch: 9, loss: 11.218610, avg_reader_cost: 0.06491 sec, avg_batch_cost: 0.26058 sec, avg_samples: 96.00000, ips: 368.40359 sequences/sec
tobal step: 20, epoch: 0, batch: 19, loss: 11.145387, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.15342 sec, avg_samples: 96.00000, ips: 625.73787 sequences/sec
tobal step: 30, epoch: 0, batch: 29, loss: 11.126204, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.15271 sec, avg_samples: 96.00000, ips: 628.63925 sequences/sec
tobal step: 40, epoch: 0, batch: 39, loss: 11.074462, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.15364 sec, avg_samples: 96.00000, ips: 624.84413 sequences/sec
tobal step: 50, epoch: 0, batch: 49, loss: 11.030020, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.15377 sec, avg_samples: 96.00000, ips: 624.31119 sequences/sec
tobal step: 60, epoch: 0, batch: 59, loss: 10.905877, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.15304 sec, avg_samples: 96.00000, ips: 627.27387 sequences/sec
tobal step: 70, epoch: 0, batch: 69, loss: 10.849234, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.15300 sec, avg_samples: 96.00000, ips: 627.45099 sequences/sec
tobal step: 80, epoch: 0, batch: 79, loss: 10.704711, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.15325 sec, avg_samples: 96.00000, ips: 626.43636 sequences/sec
tobal step: 90, epoch: 0, batch: 89, loss: 10.672933, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.15346 sec, avg_samples: 96.00000, ips: 625.58815 sequences/sec
tobal step: 100, epoch: 0, batch: 99, loss: 10.591314, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.15385 sec, avg_samples: 96.00000, ips: 623.97731 sequences/sec
tobal step: 110, epoch: 0, batch: 109, loss: 10.439857, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.15413 sec, avg_samples: 96.00000, ips: 622.83926 sequences/sec
tobal step: 120, epoch: 0, batch: 119, loss: 10.331094, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.15375 sec, avg_samples: 96.00000, ips: 624.40297 sequences/sec
