Namespace(adam_epsilon=1e-06, batch_size=64, device='gpu', enable_addto=False, gradient_merge_steps=1, input_dir='./wikicorpus_en_seqlen128', learning_rate=0.0001, logging_steps=10, max_grad_norm=1.0, max_predictions_per_seq=20, max_steps=500, model_name_or_path='bert-base-uncased', model_type='bert', output_dir='./tmp2/', save_steps=20000, scale_loss=32768, seed=42, use_amp=1, use_pure_fp16=False, warmup_steps=10000, weight_decay=0.01)
[32m[2021-12-27 14:55:31,364] [    INFO][0m - Already cached /root/.paddlenlp/models/bert-base-uncased/bert-base-uncased-vocab.txt[0m
W1227 14:55:33.705693 34141 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.2, Runtime API Version: 11.2
W1227 14:55:33.711040 34141 device_context.cc:465] device: 0, cuDNN Version: 8.1.
W1227 14:55:43.867081 34141 build_strategy.cc:110] Currently, fuse_broadcast_ops only works under Reduce mode.
tobal step: 10, epoch: 0, batch: 9, loss: 11.204630, avg_reader_cost: 0.06473 sec, avg_batch_cost: 0.21772 sec, avg_samples: 64.00000, ips: 293.95630 sequences/sec
tobal step: 20, epoch: 0, batch: 19, loss: 11.194038, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.10879 sec, avg_samples: 64.00000, ips: 588.30978 sequences/sec
tobal step: 30, epoch: 0, batch: 29, loss: 11.131694, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10884 sec, avg_samples: 64.00000, ips: 588.04571 sequences/sec
tobal step: 40, epoch: 0, batch: 39, loss: 11.144098, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10763 sec, avg_samples: 64.00000, ips: 594.63349 sequences/sec
tobal step: 50, epoch: 0, batch: 49, loss: 11.043841, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.10874 sec, avg_samples: 64.00000, ips: 588.54118 sequences/sec
tobal step: 60, epoch: 0, batch: 59, loss: 10.974667, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10880 sec, avg_samples: 64.00000, ips: 588.24596 sequences/sec
tobal step: 70, epoch: 0, batch: 69, loss: 10.853085, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10861 sec, avg_samples: 64.00000, ips: 589.26687 sequences/sec
tobal step: 80, epoch: 0, batch: 79, loss: 10.713241, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.10866 sec, avg_samples: 64.00000, ips: 589.00983 sequences/sec
tobal step: 90, epoch: 0, batch: 89, loss: 10.690108, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10856 sec, avg_samples: 64.00000, ips: 589.54162 sequences/sec
tobal step: 100, epoch: 0, batch: 99, loss: 10.560205, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.10807 sec, avg_samples: 64.00000, ips: 592.18829 sequences/sec
tobal step: 110, epoch: 0, batch: 109, loss: 10.431318, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.10817 sec, avg_samples: 64.00000, ips: 591.64519 sequences/sec
tobal step: 120, epoch: 0, batch: 119, loss: 10.372488, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10802 sec, avg_samples: 64.00000, ips: 592.47400 sequences/sec
tobal step: 130, epoch: 0, batch: 129, loss: 10.402512, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10828 sec, avg_samples: 64.00000, ips: 591.05532 sequences/sec
tobal step: 140, epoch: 0, batch: 139, loss: 10.134031, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10809 sec, avg_samples: 64.00000, ips: 592.07935 sequences/sec
tobal step: 150, epoch: 0, batch: 149, loss: 10.272360, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.10810 sec, avg_samples: 64.00000, ips: 592.04644 sequences/sec
tobal step: 160, epoch: 0, batch: 159, loss: 10.060292, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.10864 sec, avg_samples: 64.00000, ips: 589.09591 sequences/sec
tobal step: 170, epoch: 0, batch: 169, loss: 10.014081, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10812 sec, avg_samples: 64.00000, ips: 591.91237 sequences/sec
tobal step: 180, epoch: 0, batch: 179, loss: 10.031487, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10853 sec, avg_samples: 64.00000, ips: 589.68382 sequences/sec
tobal step: 190, epoch: 0, batch: 189, loss: 9.959468, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10811 sec, avg_samples: 64.00000, ips: 591.98547 sequences/sec
tobal step: 200, epoch: 0, batch: 199, loss: 10.060176, avg_reader_cost: 0.00005 sec, avg_batch_cost: 0.10841 sec, avg_samples: 64.00000, ips: 590.35339 sequences/sec
tobal step: 210, epoch: 0, batch: 209, loss: 9.811744, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.10821 sec, avg_samples: 64.00000, ips: 591.45981 sequences/sec
