nohup: ignoring input
Namespace(adam_betas='(0.9, 0.997)', adam_eps=1e-09, adaptive_softmax_cutoff=None, amp=True, amp_level='O2', arch='transformer_wmt_en_de_big_t2t', attention_dropout=0.1, beam=4, bpe_codes=None, buffer_size=64, clip_norm=0.0, cpu=False, criterion='label_smoothed_cross_entropy', data='/data/wmt14_en_de_joined_dict', decoder_attention_heads=16, decoder_embed_dim=1024, decoder_embed_path=None, decoder_ffn_embed_dim=4096, decoder_layers=6, decoder_learned_pos=False, decoder_normalize_before=True, device_id=0, distributed_backend='nccl', distributed_init_method=None, distributed_port=-1, distributed_rank=0, distributed_world_size=1, do_sanity_check=False, dropout=0.1, enable_parallel_backward_allred_opt=False, enable_parallel_backward_allred_opt_correctness_check=False, encoder_attention_heads=16, encoder_embed_dim=1024, encoder_embed_path=None, encoder_ffn_embed_dim=4096, encoder_layers=6, encoder_learned_pos=False, encoder_normalize_before=True, fp16=False, fuse_dropout_add=False, fuse_layer_norm=True, fuse_relu_dropout=False, gen_subset='test', keep_interval_updates=-1, label_smoothing=0.1, left_pad_source=True, left_pad_target=False, lenpen=1, local_rank=0, log_interval=10, lr=[0.0006], lr_scheduler='inverse_sqrt', lr_shrink=0.1, max_epoch=1, max_len_a=0, max_len_b=200, max_positions=(1024, 1024), max_sentences=None, max_sentences_valid=None, max_source_positions=1024, max_target_positions=1024, max_tokens=5120, max_update=0, min_len=1, min_loss_scale=0.0001, min_lr=0.0, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_epoch_checkpoints=True, no_save=False, no_token_positional_embeddings=False, num_shards=1, online_eval=False, optimizer='adam', pad_sequence=1, parallel_backward_allred_opt_threshold=0, path=None, prefix_size=0, print_alignment=False, profile=False, profiler_file=None, profiler_steps=100, quiet=False, raw_text=False, relu_dropout=0.1, remove_bpe=None, replace_unk=None, restore_file='checkpoint_last.pt', sampling=False, sampling_temperature=1, sampling_topk=-1, save_dir='/results', save_interval=1, save_interval_updates=0, save_predictions=False, score_reference=False, seed=1, sentence_avg=False, sentencepiece=False, shard_id=0, share_all_embeddings=True, share_decoder_input_output_embed=False, skip_invalid_size_inputs_valid_test=False, source_lang=None, stat_file='/results/run_log.json', target_bleu=0.0, target_lang=None, test_cased_bleu=False, train_subset='train', unkpen=0, unnormalized=False, update_freq=[1], valid_subset='valid', validate_interval=1, warmup_init_lr=0.0, warmup_updates=4000, weight_decay=0.0)
| [en] dictionary: 33712 types
| [de] dictionary: 33712 types
| /data/wmt14_en_de_joined_dict train 4575637 examples
| /data/wmt14_en_de_joined_dict valid 3000 examples
| /data/wmt14_en_de_joined_dict test 3003 examples
| num. model params: 210808832
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
| model transformer_wmt_en_de_big_t2t, criterion LabelSmoothedCrossEntropyCriterion
| training on 1 GPUs
| max tokens per GPU = 5120 and max sentences per GPU = None
| Sentences are being padded to multiples of: 1
| Sentences are being padded to multiples of: 1
| Sentences are being padded to multiples of: 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 8192.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 4096.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 2048.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 1024.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 512.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 256.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 128.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 64.0
Transformer | epoch 0 | step 10 |avg loss 16.126 |avg tokens 4746.000 |tokens/s 35038.571 |walltime 12.191 |
Transformer | epoch 0 | step 20 |avg loss 15.770 |avg tokens 4684.900 |tokens/s 33647.558 |walltime 13.583 |
Transformer | epoch 0 | step 30 |avg loss 15.009 |avg tokens 4825.900 |tokens/s 34159.802 |walltime 14.996 |
Transformer | epoch 0 | step 40 |avg loss 14.454 |avg tokens 4474.100 |tokens/s 33178.188 |walltime 16.344 |
Transformer | epoch 0 | step 50 |avg loss 13.947 |avg tokens 4491.300 |tokens/s 31753.365 |walltime 17.759 |
Transformer | epoch 0 | step 60 |avg loss 13.651 |avg tokens 4605.600 |tokens/s 33091.241 |walltime 19.151 |
Transformer | epoch 0 | step 70 |avg loss 13.348 |avg tokens 4797.300 |tokens/s 34942.870 |walltime 20.523 |
Transformer | epoch 0 | step 80 |avg loss 13.280 |avg tokens 4635.400 |tokens/s 34382.411 |walltime 21.872 |
Transformer | epoch 0 | step 90 |avg loss 13.005 |avg tokens 4480.700 |tokens/s 33355.492 |walltime 23.215 |
Transformer | epoch 0 | step 100 |avg loss 12.823 |avg tokens 4863.700 |tokens/s 35096.493 |walltime 24.601 |
Transformer | epoch 0 | step 110 |avg loss 12.749 |avg tokens 4102.000 |tokens/s 31155.690 |walltime 25.917 |
Transformer | epoch 0 | step 120 |avg loss 12.487 |avg tokens 4813.100 |tokens/s 34106.496 |walltime 27.329 |
Transformer | epoch 0 | step 130 |avg loss 12.542 |avg tokens 4012.100 |tokens/s 32296.169 |walltime 28.571 |
Transformer | epoch 0 | step 140 |avg loss 12.331 |avg tokens 4501.700 |tokens/s 30281.649 |walltime 30.058 |
Transformer | epoch 0 | step 150 |avg loss 12.247 |avg tokens 4478.300 |tokens/s 32942.441 |walltime 31.417 |
Transformer | epoch 0 | step 160 |avg loss 12.120 |avg tokens 4764.200 |tokens/s 34370.600 |walltime 32.803 |
Transformer | epoch 0 | step 170 |avg loss 12.058 |avg tokens 4419.500 |tokens/s 32407.459 |walltime 34.167 |
Transformer | epoch 0 | step 180 |avg loss 11.794 |avg tokens 4704.800 |tokens/s 33778.244 |walltime 35.560 |
Transformer | epoch 0 | step 190 |avg loss 11.786 |avg tokens 4298.700 |tokens/s 31521.934 |walltime 36.923 |
Transformer | epoch 0 | step 200 |avg loss 11.798 |avg tokens 4392.700 |tokens/s 33238.307 |walltime 38.245 |
Transformer | epoch 0 | step 210 |avg loss 11.835 |avg tokens 4111.300 |tokens/s 31215.326 |walltime 39.562 |
Transformer | epoch 0 | step 220 |avg loss 11.659 |avg tokens 4313.800 |tokens/s 31959.563 |walltime 40.912 |
Transformer | epoch 0 | step 230 |avg loss 11.517 |avg tokens 4865.800 |tokens/s 33261.408 |walltime 42.375 |
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 32.0
Transformer | epoch 0 | step 240 |avg loss 11.529 |avg tokens 4560.800 |tokens/s 33214.053 |walltime 43.748 |
Transformer | epoch 0 | step 250 |avg loss 11.790 |avg tokens 4366.200 |tokens/s 33111.064 |walltime 45.067 |
Transformer | epoch 0 | step 260 |avg loss 11.506 |avg tokens 4891.600 |tokens/s 34715.377 |walltime 46.476 |
Transformer | epoch 0 | step 270 |avg loss 11.312 |avg tokens 4857.800 |tokens/s 33278.178 |walltime 47.935 |
Transformer | epoch 0 | step 280 |avg loss 11.483 |avg tokens 4607.100 |tokens/s 33665.398 |walltime 49.304 |
Transformer | epoch 0 | step 290 |avg loss 11.686 |avg tokens 4808.600 |tokens/s 37783.748 |walltime 50.577 |
Transformer | epoch 0 | step 300 |avg loss 11.469 |avg tokens 3985.000 |tokens/s 30623.014 |walltime 51.878 |
Transformer | epoch 0 | step 310 |avg loss 11.169 |avg tokens 4752.000 |tokens/s 33436.313 |walltime 53.299 |
Transformer | epoch 0 | step 320 |avg loss 11.513 |avg tokens 4491.200 |tokens/s 33480.785 |walltime 54.640 |
Transformer | epoch 0 | step 330 |avg loss 11.302 |avg tokens 4595.600 |tokens/s 33653.251 |walltime 56.006 |
Transformer | epoch 0 | step 340 |avg loss 11.316 |avg tokens 4527.900 |tokens/s 31440.500 |walltime 57.446 |
